Compound;log D;mol weight;pos charge;neg charge;water sol;arom rings;V
1,3-Diphenylguanidine;1.03;211.268;1;0;0.00476;2;1.7215
1H-Benzotriazole;1.29;119.127;0;0;0.166;1;0.8642
2-Benzothiazolesulfonic acid;-0.4;215.24;0;1;1.18;1;1.3086
2-Naphthalenesulfonic acid;-0.23;208.23;0;1;3.26;2;1.425
4-Hydroxyquinoline;1.83;145.161;0;0;0.033;2;1.103
4-Nitrophenol;1.35;139.11;0;1;0.116;1;0.9493
Acesulfame;-1.49;163.15;0;1;5.58;0;0.9757
Ciprofloxacin;-0.86;331.347;1;1;0.0333;1;2.3047
Cyclohexylamine;-1.72;99.177;1;0;10.1;0;0.9452
Diethylphthalate;2.69;222.24;0;0;0.00467;1;1.7106
Gabapentin;-1.27;171.24;1;1;0.025;0;1.4423
Guanylurea;-3.93;102.097;1;0;9.79;0;0.7623
Mecoprop;-0.25;214.65;0;1;0.292;1;1.5355
PFBA;-1.22;214.04;0;1;0.00209;0;0.8705
PFBS;0.25;299.10;0;1;0.00356;0;1.1711
Sulfamethoxazole;0.14;253.28;0;1;0.00212;1;1.72
Tetraethylammonium;-2.5;130.25;1;0;2.82;0;1.36
Triethylphosphate;1.18;182.156;0;0;2.72;0;1.3934
