Compound Properties;Similarity Measure;Metric;CPCC
arom rings;average;euclidean;0.87
arom rings;average;l1;0.87
arom rings;single;euclidean;0.86
arom rings;single;l1;0.86
arom rings;complete;euclidean;0.86
arom rings;complete;l1;0.86
arom rings, V;average;euclidean;0.78
arom rings, V;average;l1;0.76
arom rings, V;complete;euclidean;0.75
arom rings, V;complete;l1;0.75
arom rings, V;single;l1;0.74
arom rings, V;single;euclidean;0.74
log D;average;euclidean;0.84
log D;average;l1;0.84
log D;single;euclidean;0.79
log D;single;l1;0.79
log D;complete;euclidean;0.67
log D;complete;l1;0.67
log D, mol weight;average;euclidean;0.75
log D, mol weight;average;l1;0.75
log D, mol weight;single;l1;0.75
log D, mol weight;complete;euclidean;0.74
log D, mol weight;single;euclidean;0.74
log D, mol weight;complete;l1;0.70
log D, mol weight, pos charge;average;euclidean;0.95
log D, mol weight, pos charge;average;l1;0.95
log D, mol weight, pos charge;single;l1;0.95
log D, mol weight, pos charge;complete;l1;0.95
log D, mol weight, pos charge;single;euclidean;0.94
log D, mol weight, pos charge;complete;euclidean;0.94
log D, mol weight, pos charge, neg charge;average;euclidean;0.92
log D, mol weight, pos charge, neg charge;complete;euclidean;0.92
log D, mol weight, pos charge, neg charge;single;l1;0.92
log D, mol weight, pos charge, neg charge;average;l1;0.92
log D, mol weight, pos charge, neg charge;single;euclidean;0.91
log D, mol weight, pos charge, neg charge;complete;l1;0.89
log D, mol weight, pos charge, neg charge, water sol;average;euclidean;0.93
log D, mol weight, pos charge, neg charge, water sol;single;l1;0.92
log D, mol weight, pos charge, neg charge, water sol;complete;euclidean;0.91
log D, mol weight, pos charge, neg charge, water sol;complete;l1;0.91
log D, mol weight, pos charge, neg charge, water sol;average;l1;0.91
log D, mol weight, pos charge, neg charge, water sol;single;euclidean;0.87
log D, mol weight, pos charge, neg charge, water sol, arom rings;average;euclidean;0.89
log D, mol weight, pos charge, neg charge, water sol, arom rings;single;l1;0.87
log D, mol weight, pos charge, neg charge, water sol, arom rings;average;l1;0.86
log D, mol weight, pos charge, neg charge, water sol, arom rings;complete;euclidean;0.84
log D, mol weight, pos charge, neg charge, water sol, arom rings;single;euclidean;0.82
log D, mol weight, pos charge, neg charge, water sol, arom rings;complete;l1;0.78
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;average;euclidean;0.89
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;average;l1;0.88
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;complete;l1;0.87
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;complete;euclidean;0.87
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;single;euclidean;0.87
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;single;l1;0.82
mol weight;average;euclidean;0.82
mol weight;average;l1;0.82
mol weight;single;euclidean;0.77
mol weight;single;l1;0.77
mol weight;complete;euclidean;0.61
mol weight;complete;l1;0.61
mol weight, pos charge;average;euclidean;0.97
mol weight, pos charge;average;l1;0.97
mol weight, pos charge;single;euclidean;0.96
mol weight, pos charge;single;l1;0.96
mol weight, pos charge;complete;l1;0.96
