carbon;similarity_measure;metric;cpcc
ACF;average;euclidean;0.795406874
ACF;average;l1;0.794259941
ACF;complete;euclidean;0.737506399
ACF;complete;l1;0.737346817
ACF;single;euclidean;0.638569417
ACF;single;l1;0.630718821
DeACF;average;euclidean;0.862605687
DeACF;average;l1;0.861513558
DeACF;complete;l1;0.855837091
DeACF;single;euclidean;0.844576915
DeACF;complete;euclidean;0.834658417
DeACF;single;l1;0.814592032
OXACF;average;euclidean;0.744776774
OXACF;complete;euclidean;0.735217053
OXACF;single;l1;0.733523533
OXACF;complete;l1;0.7223124
OXACF;single;euclidean;0.710567171
OXACF;average;l1;0.707637247
