Sorbent;Compound Property;Direct Correlation;Distance Correlation
ACF;arom rings;0.83;0.82
ACF;log D;0.42;0.51
ACF;water sol;0.29;0.33
ACF;V;0.28;0.44
ACF;neg charge;0.17;0.24
ACF;mol weight;0.13;0.36
ACF;pos charge;0.03;0.32
DeACF;arom rings;0.71;0.69
DeACF;V;0.45;0.58
DeACF;mol weight;0.36;0.49
DeACF;log D;0.28;0.42
DeACF;water sol;-0.26;0.29
DeACF;pos charge;-0.16;0.22
DeACF;neg charge;0.15;0.18
OXACF;arom rings;0.68;0.65
OXACF;log D;0.37;0.55
OXACF;neg charge;-0.33;0.34
OXACF;V;0.19;0.34
OXACF;water sol;-0.16;0.25
OXACF;pos charge;0.14;0.17
OXACF;mol weight;0.00;0.27
