carbon;properties;dcor
DeACF;log D;0.46649295089671117
DeACF;log D, mol weight;0.5469642622371776
DeACF;mol weight;0.5168435117602153
DeACF;log D, mol weight, pos charge;0.4197627222042597
DeACF;mol weight, pos charge;0.36999587965557773
DeACF;pos charge;0.21986160041072683
DeACF;log D, mol weight, pos charge, neg charge;0.39933459913646274
DeACF;mol weight, pos charge, neg charge;0.36487996035020515
DeACF;pos charge, neg charge;0.28019912277510267
DeACF;neg charge;0.18102357090341578
DeACF;log D, mol weight, pos charge, neg charge, water sol;0.4078103503169759
DeACF;mol weight, pos charge, neg charge, water sol;0.3850175235777396
DeACF;pos charge, neg charge, water sol;0.336173228959163
DeACF;neg charge, water sol;0.27705362134964157
DeACF;water sol;0.32142002250597884
DeACF;log D, mol weight, pos charge, neg charge, water sol, arom rings;0.5377574371116514
DeACF;mol weight, pos charge, neg charge, water sol, arom rings;0.5322065220624269
DeACF;pos charge, neg charge, water sol, arom rings;0.5101426368023967
DeACF;neg charge, water sol, arom rings;0.5197534977923332
DeACF;water sol, arom rings;0.6373888577299304
DeACF;arom rings;0.6923474597599065
DeACF;log D, mol weight, pos charge, neg charge, water sol, arom rings, V;0.5705979069978093
DeACF;mol weight, pos charge, neg charge, water sol, arom rings, V;0.5677746034200676
DeACF;pos charge, neg charge, water sol, arom rings, V;0.5605576688028601
DeACF;neg charge, water sol, arom rings, V;0.584891197518952
DeACF;water sol, arom rings, V;0.7086263802098229
DeACF;arom rings, V;0.7636014477373743
DeACF;V;0.6529205169615012
ACF;log D;0.5423998690995806
ACF;log D, mol weight;0.5220609843315278
ACF;mol weight;0.3773608974371052
ACF;log D, mol weight, pos charge;0.4556072454081908
ACF;mol weight, pos charge;0.3947654679429034
ACF;pos charge;0.3219971978938157
ACF;log D, mol weight, pos charge, neg charge;0.4345518652387261
ACF;mol weight, pos charge, neg charge;0.38920106442908803
ACF;pos charge, neg charge;0.3335363395903973
ACF;neg charge;0.24194381460106126
ACF;log D, mol weight, pos charge, neg charge, water sol;0.4576529058489163
ACF;mol weight, pos charge, neg charge, water sol;0.4275819778545742
ACF;pos charge, neg charge, water sol;0.4094324852811921
ACF;neg charge, water sol;0.38754211586093346
ACF;water sol;0.3711536237507397
ACF;log D, mol weight, pos charge, neg charge, water sol, arom rings;0.6154283553386121
ACF;mol weight, pos charge, neg charge, water sol, arom rings;0.6062209782880408
ACF;pos charge, neg charge, water sol, arom rings;0.6032135031631424
ACF;neg charge, water sol, arom rings;0.6296548794108228
ACF;water sol, arom rings;0.763020734691884
ACF;arom rings;0.8214908204413989
ACF;log D, mol weight, pos charge, neg charge, water sol, arom rings, V;0.6265380222914645
ACF;mol weight, pos charge, neg charge, water sol, arom rings, V;0.6191899836551779
ACF;pos charge, neg charge, water sol, arom rings, V;0.6242785822212993
ACF;neg charge, water sol, arom rings, V;0.6512294423631672
ACF;water sol, arom rings, V;0.770679289084109
ACF;arom rings, V;0.8245409200216681
ACF;V;0.5018442931279313
OXACF;log D;0.544032400712603
OXACF;log D, mol weight;0.4908314665566358
OXACF;mol weight;0.2494709763446343
OXACF;log D, mol weight, pos charge;0.37792951051570434
OXACF;mol weight, pos charge;0.26662051189097763
OXACF;pos charge;0.1699590868509318
OXACF;log D, mol weight, pos charge, neg charge;0.407669559770954
OXACF;mol weight, pos charge, neg charge;0.36372164861870276
OXACF;pos charge, neg charge;0.318660798335444
OXACF;neg charge;0.33557045926679224
OXACF;log D, mol weight, pos charge, neg charge, water sol;0.41987556460520253
OXACF;mol weight, pos charge, neg charge, water sol;0.38384276478354307
OXACF;pos charge, neg charge, water sol;0.35626718826397735
OXACF;neg charge, water sol;0.3910721104405276
OXACF;water sol;0.29238405596819084
OXACF;log D, mol weight, pos charge, neg charge, water sol, arom rings;0.5293127081050837
OXACF;mol weight, pos charge, neg charge, water sol, arom rings;0.5104985934259161
OXACF;pos charge, neg charge, water sol, arom rings;0.5033482460830712
OXACF;neg charge, water sol, arom rings;0.5620548559898872
OXACF;water sol, arom rings;0.6339341120496345
OXACF;arom rings;0.6521180435108478
OXACF;log D, mol weight, pos charge, neg charge, water sol, arom rings, V;0.5382463890899576
OXACF;mol weight, pos charge, neg charge, water sol, arom rings, V;0.5224035894924318
OXACF;pos charge, neg charge, water sol, arom rings, V;0.523799170526304
OXACF;neg charge, water sol, arom rings, V;0.5778946005376056
OXACF;water sol, arom rings, V;0.6305139490274912
OXACF;arom rings, V;0.6645492054374762
OXACF;V;0.4212850060761343
